Timestamp (UTC),Inverter Serial,Port Number,DC Power (W),DC Voltage (V),Daily Energy (Wh)
2026-09-13T17:40:00Z,1420b03146bb,1,91.0,42.5,174.0
2026-09-13T17:40:00Z,1420b03146bb,2,88.0,42.4,170.0
2026-09-13T17:40:00Z,1420b03146bb,3,0.0,6.8,0.0
2026-09-13T17:40:00Z,1420b03146bb,4,91.0,42.5,174.0
2026-09-13T17:40:00Z,1420b03146fc,1,83.0,42.6,165.0
2026-09-13T17:40:00Z,1420b03146fc,2,81.0,42.5,161.0
2026-09-13T17:40:00Z,1420b03146fc,3,76.0,43.2,153.0
2026-09-13T17:40:00Z,1420b03146fc,4,74.0,42.5,149.0
2026-09-13T17:40:00Z,1420b0314cf5,1,86.0,42.6,168.0
2026-09-13T17:40:00Z,1420b0314cf5,2,84.0,42.5,165.0
2026-09-13T17:40:00Z,1420b0314cf5,3,86.0,42.5,168.0
2026-09-13T17:40:00Z,1420b0314cf5,4,85.0,42.5,166.0
2026-09-13T17:40:00Z,1420b0314d19,1,93.0,43.1,179.0
2026-09-13T17:40:00Z,1420b0314d19,2,91.0,42.9,176.0
2026-09-13T17:40:00Z,1420b0314d19,3,0.0,3.7,0.0
2026-09-13T17:40:00Z,1420b0314d19,4,0.0,3.8,0.0
2026-09-13T17:40:00Z,1420b0314d25,1,84.0,42.8,166.0
2026-09-13T17:40:00Z,1420b0314d25,2,83.0,42.6,164.0
2026-09-13T17:40:00Z,1420b0314d25,3,85.0,42.8,167.0
2026-09-13T17:40:00Z,1420b0314d25,4,84.0,42.5,165.0
2026-09-13T17:40:00Z,1420b0314df9,1,90.0,42.6,176.0
2026-09-13T17:40:00Z,1420b0314df9,2,87.0,42.6,170.0
2026-09-13T17:40:00Z,1420b0314df9,3,88.0,42.6,172.0
2026-09-13T17:40:00Z,1420b0314df9,4,86.0,42.6,168.0
2026-09-13T17:40:00Z,1420b0314f85,1,101.0,42.8,179.0
2026-09-13T17:40:00Z,1420b0314f85,2,100.0,42.7,178.0
2026-09-13T17:40:00Z,1420b0314f85,3,101.0,42.8,179.0
2026-09-13T17:40:00Z,1420b0314f85,4,101.0,42.8,179.0
2026-09-13T17:40:00Z,1420b03150a1,1,120.0,49.2,103.0
2026-09-13T17:40:00Z,1420b03150a1,2,14.0,15.9,131.0
2026-09-13T17:40:00Z,1420b03150a1,3,103.0,42.9,184.0
2026-09-13T17:40:00Z,1420b03150a1,4,104.0,42.9,185.0
2026-09-13T17:40:00Z,1420b0315189,1,103.0,42.8,186.0
2026-09-13T17:40:00Z,1420b0315189,2,103.0,42.8,184.0
2026-09-13T17:40:00Z,1420b0315189,3,103.0,42.6,185.0
2026-09-13T17:40:00Z,1420b0315189,4,104.0,42.8,186.0
2026-09-13T17:40:00Z,1420b03153ec,1,102.0,42.9,184.0
2026-09-13T17:40:00Z,1420b03153ec,2,102.0,42.9,185.0
2026-09-13T17:40:00Z,1420b03153ec,3,103.0,43.0,186.0
2026-09-13T17:40:00Z,1420b03153ec,4,103.0,42.8,186.0
2026-09-13T17:50:00Z,1420b03145c2,1,92.0,42.7,179.0
2026-09-13T17:50:00Z,1420b03145c2,3,91.0,42.9,177.0
2026-09-13T17:50:00Z,1420b03145c2,4,89.0,42.9,173.0
2026-09-13T17:50:00Z,1420b0314618,1,101.0,42.6,201.0
2026-09-13T17:50:00Z,1420b0314618,2,100.0,42.5,198.0
2026-09-13T17:50:00Z,1420b0314618,3,101.0,42.8,200.0
2026-09-13T17:50:00Z,1420b0314618,4,101.0,42.7,200.0
2026-09-13T17:50:00Z,1420b03146bb,1,97.0,42.6,188.0
2026-09-13T17:50:00Z,1420b03146bb,2,95.0,42.6,183.0
2026-09-13T17:50:00Z,1420b03146bb,3,0.0,6.6,0.0
2026-09-13T17:50:00Z,1420b03146bb,4,97.0,42.7,187.0
2026-09-13T17:50:00Z,1420b03146fc,1,89.0,42.8,178.0
2026-09-13T17:50:00Z,1420b03146fc,2,87.0,42.7,174.0
2026-09-13T17:50:00Z,1420b03146fc,3,82.0,43.1,165.0
2026-09-13T17:50:00Z,1420b03146fc,4,80.0,42.7,161.0
2026-09-13T17:50:00Z,1420b0314cf5,1,90.0,42.7,181.0
2026-09-13T17:50:00Z,1420b0314cf5,2,88.0,42.6,178.0
2026-09-13T17:50:00Z,1420b0314cf5,3,90.0,42.5,181.0
2026-09-13T17:50:00Z,1420b0314cf5,4,88.0,42.7,179.0
2026-09-13T17:50:00Z,1420b0314d19,1,98.0,43.2,193.0
